Sampling_event,River,Location_Code,Replicate,Treatment,Control_first,Min_from_sunrise,Log_Flow_ms,Depth_cm,Width_m,LOG_Turb_mean_NTU,LOG_DO_mgL,LOG_Temp_mean_C,LOG_Light_mean_lux,LOG_Canopy_cover,totPredPA,TopPPA,Predvisits,TopPvisits,PredFirstV,Predtottime,TopPredTotTime,PredAttack,TopAttack,PredFirstA,LatencyPredFirstA,Trial_length_min,Trial_length_sec,Guppy_Number,Male_Female_ratio,Guppy_length_mm,Time,PC1,PC2,PC3,Sediment_type,Sediment_numeric,Quarry,UpDownStream,UpDownStreamCode,AP,SF,HM,HT,AH,AB,RQ,RD
se022,st joseph,1StB1,1,control,n,508,0,55,2,0.240549248,1.089905111,1.442636526,3.384675923,1.874829578,1,1,30,27,86,140,140,0,0,900,0,15,900,0,NA,NA,pm,-1.471808972,1.031676963,0.820083277,leaf_litter,5,y,B,mid,0,1,0,0,0,1,0,0
se023,st joseph,1StB2,1,control,n,525,0,69,4,0.336459734,1.08278537,1.439016728,2.939818663,1.82724,1,1,33,33,14,400,402,0,0,900,0,15,900,0,NA,NA,pm,-1.371928106,1.271810941,0.532318564,pebbles,3,y,B,mid,1,1,0,0,0,0,0,0
se024,st joseph,1StB3,1,control,n,545,0,62,8,0.252853031,1.025305865,1.442322956,4.294382446,0.709269961,1,1,36,36,174,618,621,0,0,900,0,15,900,0,NA,NA,pm,1.44524199,1.780626477,1.388182261,silt,1,y,B,mid,1,1,0,0,0,0,0,0
se025,lopinot,3LoA1,1,control,y,203,0,55,2,0.371067862,1.167317335,1.397766256,3.27578801,1.860816964,1,0,1,0,217,4,0,0,0,900,0,15,900,0,NA,NA,am,-1.907530689,-0.745701257,0.711562592,sand,2,n,A,up,0,0,1,0,0,0,0,0
se026,lopinot,3LoA2,1,control,y,222,0,53,7,0.523746467,1.212187604,1.399154334,4.227377588,1.581494542,1,1,7,7,122,67,67,0,0,900,0,15,900,0,NA,NA,am,0.275163678,-0.851669679,0.117154895,sand,2,n,A,up,0,1,0,0,0,0,0,0
se027,lopinot,3LoA3,1,control,y,251,0.012837225,64,4,0.344392274,1.167317335,1.397592434,3.827261332,1.746634199,1,1,2,2,201,4,4,0,0,900,0,15,900,0,NA,NA,am,-0.880448103,-0.567598677,1.242596032,pebbles,3,n,A,up,0,0,0,1,0,0,0,0
se028,lopinot,3LoA1,1,prey,y,280,0,55,2,0.371067862,1.167317335,1.404491618,3.388532794,1.860816964,0,0,0,0,900,0,0,0,0,900,0,15,900,5,0,30.6,am,-1.688374643,-0.551947483,0.680417508,sand,2,y,A,up,0,0,0,0,0,0,0,0
se029,lopinot,3LoA2,1,prey,y,298,0,53,7,0.523746467,1.212187604,1.411451342,4.47194076,1.581494542,1,1,7,7,138,729,747,101,101,167,733,15,900,5,0,30.6,am,0.708476578,-0.493000167,0.080138331,sand,2,y,A,up,1,1,0,0,0,0,0,0
se030,lopinot,3LoA3,1,prey,y,319,0.012837225,64,4,0.344392274,1.167317335,1.405517107,3.60549144,1.746634199,1,1,3,3,275,747,750,123,118,100,800,15,900,5,0,30.6,am,-0.923120236,-0.379910152,1.021908586,pebbles,3,y,A,up,1,1,0,0,0,1,0,0
se031,lopinot,3LoB1,1,prey,n,445,0,60,2,0.26245109,1.045322979,1.431202885,4.139748779,0.859138297,1,1,17,17,73,856,1692,258,258,89,811,15,900,9,0,23,pm,0.149569056,1.111883093,1.777668898,pebbles,3,y,B,mid,1,1,0,0,0,0,0,0
se032,lopinot,3LoB2,1,prey,n,463,0,59,4,0.267171728,1.164352856,1.432969291,3.18593859,1.852418993,1,1,6,6,424,221,221,1,1,699,201,15,900,9,0,23,pm,-1.057232799,0.3720977,0.550494208,leaf_litter,5,y,B,mid,1,1,0,0,0,0,0,0
se033,lopinot,3LoB3,1,prey,n,481,0,62,9.5,0.434568904,1.170261715,1.438384107,3.918948831,1.856245401,1,1,20,20,10,91,91,1,1,664,236,15,900,9,0,23,pm,0.584751925,0.770109543,-0.161847306,silt,1,y,B,mid,1,0,0,0,0,0,0,0
se034,lopinot,3LoB1,1,control,n,508,0,60,2,0.26245109,1.045322979,1.428296814,4.156545214,0.859138297,1,1,45,45,116,325,340,0,0,900,0,15,900,0,NA,NA,pm,0.110461784,1.035664593,1.82511775,pebbles,3,n,B,mid,1,1,0,0,0,0,0,0
se035,lopinot,3LoB2,1,control,n,526,0,59,4,0.267171728,1.164352856,1.428782511,2.586812269,1.852418993,1,1,8,8,227,72,71,1,1,462,438,15,900,0,NA,NA,pm,-1.642491241,0.190896577,0.295452671,leaf_litter,5,n,B,mid,1,1,0,0,0,0,0,0
se036,lopinot,3LoB3,1,control,n,543,0,62,9.5,0.434568904,1.170261715,1.432167269,3.420792157,1.856245401,1,1,12,12,90,104,104,0,0,900,0,15,900,0,NA,NA,pm,0.047895484,0.545886169,-0.337444371,silt,1,n,B,mid,1,0,0,0,0,0,0,0
se037,lopinot,3LoC1,1,control,y,203,0.033423755,40,8,0.421603927,1.184691431,1.410439786,3.505954036,1.768860001,1,1,1,1,890,14,14,0,0,900,0,15,900,0,NA,NA,am,-0.547887948,-0.972107856,-0.416005975,leaf_litter,5,n,C,down,0,1,0,0,0,0,0,0
se038,lopinot,3LoC2,1,control,y,221,0,62,12,0.414973348,1.198657087,1.410102077,3.680861063,1.804139432,0,0,0,0,615,0,0,0,0,900,0,15,900,0,NA,NA,am,0.419915427,-0.140333723,-0.08263309,leaf_litter,5,n,C,down,0,0,0,0,0,0,0,0
se039,lopinot,3LoC3,1,control,y,240,0.029383778,58,8,0.336459734,1.193124598,1.40534636,3.665443083,1.727785174,0,0,0,0,198,0,0,0,0,900,0,15,900,0,NA,NA,am,-0.213059808,-0.721173988,0.562081853,pebbles,3,n,C,down,0,0,0,0,0,0,0,0
se040,lopinot,3LoC1,1,prey,y,262,0.033423755,40,8,0.421603927,1.184691431,1.40688067,3.368249685,1.768860001,1,1,1,1,708,69,69,0,0,900,0,15,900,6,0,23.8,am,-0.730086276,-1.08358217,-0.440012849,leaf_litter,5,n,C,down,1,0,0,0,0,0,0,0
se041,lopinot,3LoC2,1,prey,y,280,0,62,12,0.414973348,1.198657087,1.417803723,4.212169753,1.804139432,1,1,21,21,215,733,1058,8,8,426,474,15,900,6,0,23.8,am,1.012165955,0.127612233,0.090373667,leaf_litter,5,n,C,down,1,1,0,0,0,0,0,0
se042,lopinot,3LoC3,1,prey,y,298,0.029383778,58,8,0.336459734,1.193124598,1.409595019,3.671425567,1.727785174,1,1,5,5,501,110,125,0,0,900,0,15,900,6,0,23.8,am,-0.129971812,-0.606245199,0.50855641,pebbles,3,n,C,down,1,1,0,0,0,0,0,0
se043,caura,2CaC1,1,prey,n,500,0.133538908,52,12.5,0.382017043,1.214843848,1.418798291,2.802411092,1.763353109,1,1,20,20,38,515,785,146,146,276,624,15,900,6,0,28.5,pm,0.115347628,-1.607742939,-0.682733832,rock,4,n,C,down,1,1,0,0,0,0,0,0
se044,caura,2CaC2,1,prey,n,517,0.012837225,74,11,0.380211242,1.158362492,1.416307587,3.023170121,1.773640193,1,1,7,7,146,101,101,3,3,164,736,15,900,6,0,28.5,pm,-0.164435695,0.331712491,0.158466315,pebbles,3,n,C,down,0,1,0,0,0,0,0,0
se045,caura,2CaC3,1,prey,n,536,0.025305865,60,9,0.328379603,1.184691431,1.417305583,3.410135859,1.770483809,1,1,4,4,141,46,46,0,0,900,0,15,900,6,0,28.5,pm,-0.153135446,-0.251663817,0.275577919,leaf_litter,5,n,C,down,0,1,0,0,0,1,0,0
se046,caura,2CaC1,1,control,n,565,0.133538908,52,12.5,0.382017043,1.214843848,1.416640507,2.968422236,1.763353109,1,1,2,1,359,541,2,0,0,900,0,15,900,0,NA,NA,pm,0.216594745,-1.646750075,-0.567841299,rock,4,n,C,down,0,1,1,0,0,0,0,0
se047,caura,2CaC3,1,control,n,596,0.012837225,74,11,0.380211242,1.158362492,1.41763774,3.179232847,1.773640193,1,1,5,5,316,62,62,0,0,900,0,15,900,0,NA,NA,pm,-0.007586572,0.385354183,0.221707418,pebbles,3,n,C,down,0,1,0,1,0,0,0,0
se048,caura,2CaC2,1,control,n,605,0.025305865,60,9,0.328379603,1.184691431,1.41713941,2.872994904,1.770483809,1,1,1,1,705,17,17,0,0,900,0,15,900,0,NA,NA,pm,-0.611972542,-0.31765398,-0.000893305,leaf_litter,5,n,C,down,0,1,0,0,0,0,0,0
se049,caura,2CaB1,1,prey,n,246,0.049218023,73,10,0.342422681,1.127104798,1.417471693,3.782458291,1.756103372,1,1,51,51,149,803,843,61,61,289,611,15,900,10,0.43,27.7,am,0.252494347,0.266520624,0.855124432,pebbles,3,n,B,mid,1,1,0,0,0,0,0,0
se050,caura,2CaB2,1,prey,n,283,0.164352856,65,7,0.367355921,1.195899652,1.419790586,4.022837727,1.447778009,1,1,1,1,769,25,25,0,0,900,0,15,900,10,0.43,27.7,am,0.936812498,-1.535221247,0.982724851,pebbles,3,n,B,mid,0,1,0,0,0,0,0,0
se051,caura,2CaB3,1,prey,n,302,0.127104798,53,8,0.29666519,1.184691431,1.428296814,4.163302438,1.768638101,1,1,5,5,342,64,64,0,0,900,0,15,900,10,0.43,27.7,am,0.61119515,-1.029708323,0.672007647,leaf_litter,5,n,B,mid,1,0,0,0,0,0,0,0
se052,caura,2CaB1,1,control,n,322,0.049218023,73,10,0.342422681,1.127104798,1.421603927,3.315424512,1.756103372,1,1,1,1,391,2,2,0,0,900,0,15,900,0,NA,NA,am,-0.067928901,0.324141516,0.55773465,pebbles,3,n,B,mid,1,0,0,0,0,0,0,0
se053,caura,2CaB2,1,control,n,355,0.164352856,65,7,0.367355921,1.195899652,1.425371166,4.138481749,1.447778009,1,1,2,2,68,22,22,0,0,900,0,15,900,0,NA,NA,am,1.137408788,-1.371917824,0.968342508,pebbles,3,n,B,mid,0,1,0,0,0,0,0,0
se054,caura,2CaB3,1,control,n,375,0.127104798,53,8,0.29666519,1.184691431,1.420285885,2.940979419,1.768638101,1,1,1,1,421,4,4,0,0,900,0,15,900,0,NA,NA,am,-0.573087991,-1.385116586,0.144602661,leaf_litter,5,n,B,mid,1,0,0,0,0,0,0,0
se055,caura,2CaA1,1,control,y,483,0.164352856,55,5,0.62838893,1.136720567,1.429267666,3.626053823,1.836197481,0,0,0,0,900,0,0,0,0,900,0,15,900,0,NA,NA,pm,-0.331955885,-1.18427636,-0.451450371,leaf_litter,5,n,A,up,0,0,0,0,0,0,0,0
se056,caura,2CaA2,1,control,y,502,0,60,7,0.643452676,1.158362492,1.42373725,3.5305749,2.003632837,1,1,4,4,215,30,30,0,0,900,0,15,900,0,NA,NA,pm,-0.545678177,0.280159348,-0.8326312,pebbles,3,n,A,up,1,0,0,0,0,0,0,0
se057,caura,2CaA3,1,control,y,526,0.173186268,52,2,0.672097858,1.170261715,1.421603927,3.630732893,1.836197481,1,1,1,1,453,2,2,0,0,900,0,15,900,0,NA,NA,pm,-0.721978232,-1.871012443,-0.406620346,sand,2,n,A,up,1,0,0,0,0,0,0,0
se058,caura,2CaA1,1,prey,y,548,0.164352856,55,5,0.62838893,1.136720567,1.420615771,3.339954018,1.836197481,1,1,7,5,508,412,412,85,85,660,240,15,900,9,0.11,26.9,pm,-0.733584681,-1.449688669,-0.484569186,leaf_litter,5,n,A,up,0,1,1,0,0,0,0,0
se059,caura,2CaA2,1,prey,y,567,0,60,7,0.643452676,1.158362492,1.422917981,3.742421097,2.003632837,1,1,3,3,265,33,33,0,0,900,0,15,900,9,0.11,26.9,pm,-0.380961056,0.282393735,-0.711798701,pebbles,3,n,A,up,1,0,0,0,0,0,0,0
se060,caura,2CaA3,1,prey,y,583,0.173186268,52,2,0.672097858,1.170261715,1.422753941,3.532677957,1.836197481,1,1,2,2,323,25,12,1,1,170,730,15,900,9,0.11,26.9,pm,-0.784065883,-1.851320144,-0.472822678,sand,2,n,A,up,1,0,0,0,0,0,1,0
se061,aripo,6ArB1,1,control,y,265,0.012837225,79,5,0.426511261,1.164352856,1.408748606,3.627222434,1.987398099,1,0,10,0,39,781,0,2,0,609,351,16,960,0,NA,NA,am,-0.794668839,0.092834644,0.9649613,leaf_litter,5,n,B,mid,0,0,0,0,1,0,0,0
se062,aripo,6ArB2,1,control,y,286,0,59,5,0.462397998,1.164352856,1.417803723,4.332035692,1.672282625,1,0,13,0,56,557,0,5,0,510,390,15,900,0,NA,NA,am,0.110755386,0.078114612,0.565435224,leaf_litter,5,n,B,mid,0,0,0,0,1,0,0,0
se063,aripo,6ArB3,1,control,y,304,0.004321374,66,3,0.340444115,1.161368002,1.405858399,4.09473903,1.741781696,1,0,14,0,70,249,0,1,0,849,51,15,900,0,NA,NA,am,-0.655591489,-0.179510194,1.426587155,pebbles,3,n,B,mid,0,0,0,0,1,0,0,0
se064,aripo,6ArB1,1,prey,y,327,0.012837225,79,5,0.426511261,1.164352856,1.406369835,3.59754162,1.987398099,1,0,18,0,20,809,0,8,0,178,722,15,900,9,0,22.8,am,-0.863531943,0.025471577,0.981267998,leaf_litter,5,n,B,mid,0,0,0,0,1,0,0,0
se065,aripo,6ArB2,1,prey,y,348,0,59,5,0.462397998,1.164352856,1.409595019,4.032833438,1.672282625,1,0,11,0,115,808,0,3,0,267,633,15,900,9,0,22.8,am,-0.293853733,-0.17688129,0.519611249,leaf_litter,5,n,B,mid,0,0,0,0,1,0,0,0
se066,aripo,6ArB3,1,prey,y,365,0.004321374,66,3,0.340444115,1.161368002,1.40534636,3.853738963,1.741781696,1,0,5,0,232,103,0,0,0,900,0,15,900,9,0,22.8,am,-0.869491621,-0.220881719,1.308373368,pebbles,3,n,B,mid,0,0,0,0,1,0,0,0
se067,aripo,6ArA1,1,prey,n,511,0,40,5,0.788875116,1.056904851,1.405175546,2.642197332,1.761702368,1,0,4,0,24,871,0,54,0,25,875,15,900,11,0.5,22.8,pm,-2.323428463,-0.149178198,-1.742405774,leaf_litter,5,n,A,up,0,0,0,0,1,0,0,0
se068,aripo,6ArA2,1,prey,n,531,0,55,4,0.788875116,1.056904851,1.40363519,2.634809665,1.764400323,1,0,7,0,2,886,0,15,0,9,891,15,900,11,0.5,22.8,pm,-2.298792091,0.095477847,-1.215774828,leaf_litter,5,n,A,up,0,0,0,0,1,0,0,0
se069,aripo,6ArA3,1,prey,n,556,0,32,2,0.29666519,1.056904851,1.40363519,3.110050716,1.811239773,1,0,3,0,350,180,0,7,0,729,171,15,900,11,0.5,22.8,pm,-2.790879135,-0.321434968,0.408806864,pebbles,3,n,A,up,0,0,0,0,1,0,0,0
se070,aripo,6ArA1,1,control,n,585,0,40,5,0.788875116,1.056904851,1.402089351,2.180699201,1.761702368,1,0,23,0,24,828,0,6,0,308,592,15,900,0,NA,NA,pm,-2.771695441,-0.285021973,-1.940710786,leaf_litter,5,n,A,up,0,0,0,0,1,0,0,0
se071,aripo,6ArA2,1,control,n,600,0,55,4,0.788875116,1.056904851,1.401572846,2.051538391,1.764400323,1,0,18,0,10,580,0,1,0,93,807,15,900,0,NA,NA,pm,-2.831589119,-0.026782651,-1.490906348,leaf_litter,5,n,A,up,0,0,0,0,1,0,0,0
se072,aripo,6ArA3,1,control,n,621,0,32,2,0.29666519,1.100370545,1.400192489,2.997792526,1.811239773,1,0,3,0,172,58,0,0,0,900,0,15,900,0,NA,NA,pm,-2.725779398,-0.728751253,0.309594048,pebbles,3,n,A,up,0,0,0,0,1,0,0,0
se073,st joseph,1StC1,1,prey,n,244,0,40,7,0.57634135,1.193124598,1.417803723,3.368547198,1.856245401,0,0,0,0,900,0,0,0,0,900,0,15,900,10,0.3,19.7,am,-0.722478786,-0.569064273,-1.182930415,rock,4,n,C,down,0,0,0,0,0,0,0,0
se074,st joseph,1StC2,1,prey,n,266,0,45,8,0.173186268,1.1430148,1.425371166,3.953959161,1.704322141,1,1,4,4,141,101,101,0,0,900,0,15,900,10,0.3,19.7,am,-0.132955247,0.228932174,0.761627585,leaf_litter,5,n,C,down,1,0,0,0,0,1,0,0
se075,st joseph,1StC3,1,prey,n,298,0,50,5,0.139879086,1.187520721,1.443419462,4.623068297,1.790636962,1,1,0,0,70,0,0,1,0,214,686,15,900,10,0.3,19.7,am,0.511117797,0.509138962,1.274060159,sand,2,n,C,down,0,0,0,1,0,0,0,0
se076,st joseph,1StC1,1,control,n,324,0,40,7,0.57634135,1.193124598,1.43055877,2.889900896,1.856245401,0,0,0,0,900,0,0,0,0,900,0,15,900,0,NA,NA,am,-0.894428229,-0.280911795,-1.60127654,rock,4,y,C,down,0,0,0,0,0,0,0,0
se077,st joseph,1StC2,1,control,n,345,0,45,8,0.173186268,1.1430148,1.424228071,2.969788537,1.704322141,1,1,2,1,356,11,6,0,0,900,0,15,900,0,NA,NA,am,-0.989052896,0.085472325,0.266244065,leaf_litter,5,y,C,down,0,1,0,0,0,1,0,0
se078,st joseph,1StC3,1,control,n,365,0,50,5,0.139879086,1.187520721,1.425044875,3.653038761,1.790636962,1,1,35,15,242,130,98,0,0,900,0,15,900,0,NA,NA,am,-0.649376049,-0.096044447,1.015687888,sand,2,y,C,down,1,1,0,1,0,1,0,0
se079,turure,7TuB1,1,prey,n,161,0.158362492,45,4,0.357934847,1.170261715,1.404662701,2.886868453,1.782544284,1,1,1,1,517,12,12,0,0,900,0,15,900,9,0,24.6,am,-1.586033436,-2.31430292,0.262332276,leaf_litter,5,n,B,mid,1,0,0,0,0,1,0,0
se080,turure,7TuB2,1,prey,n,182,0.184691431,55,8,0.290034611,1.198657087,1.400883216,3.197867493,1.868291688,1,1,5,5,87,305,305,6,6,130,770,15,900,9,0,24.6,am,-0.6500943,-2.477503026,0.64864215,leaf_litter,5,n,B,mid,1,0,0,0,0,1,0,0
se081,turure,7TuB3,1,prey,n,200,0.008600172,59,5,0.382017043,1.161368002,1.403806611,3.755534144,1.68547302,1,1,54,13,103,905,544,30,21,108,792,15,900,9,0,24.6,am,-0.693033064,-0.413530062,0.775251266,leaf_litter,5,n,B,mid,1,1,0,0,0,1,0,1
se082,turure,7TuB1,1,control,n,230,0.158362492,45,4,0.357934847,1.170261715,1.411282913,3.018117721,1.782544284,1,1,5,5,39,149,149,0,0,900,0,15,900,0,NA,NA,am,-1.353106292,-2.121257133,0.242189436,leaf_litter,5,y,B,mid,1,0,0,1,0,0,0,0
se083,turure,7TuB2,1,control,n,249,0.184691431,55,8,0.290034611,1.198657087,1.409425869,3.506640306,1.868291688,1,1,11,8,8,104,100,0,0,900,0,15,900,0,NA,NA,am,-0.231232379,-2.212431288,0.694980516,leaf_litter,5,y,B,mid,1,0,0,1,0,1,0,0
se084,turure,7TuB3,1,control,n,266,0.008600172,59,5,0.382017043,1.161368002,1.420615771,4.485183619,1.68547302,1,1,28,9,116,160,108,0,0,900,0,15,900,0,NA,NA,am,0.234745,0.12202794,0.929771784,leaf_litter,5,y,B,mid,1,1,0,1,0,1,0,1
se085,aripo,6ArC1,1,prey,n,233,0,60,5,0.683947131,1.161368002,1.435844366,3.449991844,1.754118894,1,1,43,28,12,920,1822,195,193,118,782,15,900,10,0.3,19.9,am,-0.307901435,0.480481547,-0.966655189,leaf_litter,5,n,C,down,1,1,0,0,0,1,0,1
se086,aripo,6ArC2,1,prey,n,251,0,53,8.5,0.563481085,1.167317335,1.4363217,4.006000691,1.747722462,1,1,22,20,206,423,457,4,4,373,527,15,900,10,0.3,19.9,am,0.549600731,0.492775652,-0.722405366,leaf_litter,5,n,C,down,1,1,0,0,0,1,0,1
se087,aripo,6ArC3,1,prey,n,270,0,53,12,0.608526034,1.176091259,1.442636526,4.408086069,0,1,1,0,0,4,0,0,0,0,960,0,16,960,10,0.3,19.9,am,3.873871914,0.558168038,-0.619567505,pebbles,3,n,C,down,0,0,0,1,0,0,0,0
se088,aripo,6ArC1,1,control,n,301,0,60,5,0.683947131,1.161368002,1.446692466,4.323822601,1.754118894,1,1,63,42,22,888,1150,1,1,327,573,15,900,0,NA,NA,am,0.632766492,0.87226458,-0.657875229,leaf_litter,5,n,C,down,1,1,0,1,0,1,0,1
se089,aripo,6ArC2,1,control,n,320,0,53,8.5,0.563481085,1.167317335,1.44870632,3.937333804,1.747722462,1,1,11,8,264,98,103,0,0,900,0,15,900,0,NA,NA,am,0.71873389,0.817924928,-0.923103576,leaf_litter,5,n,C,down,1,1,0,0,0,1,0,1
